iter	F1	Logloss
0	0.8386932476	0.647638453
1	0.8439162297	0.6105738602
2	0.845319006	0.5822243284
3	0.8459931209	0.5581867324
4	0.8479763102	0.5374943891
5	0.8487303491	0.5230217212
6	0.8490404458	0.5084285584
7	0.8484668721	0.4974068337
8	0.8489034433	0.4862136117
9	0.8495517252	0.4784335034
10	0.850341033	0.4701844022
11	0.8506103614	0.4642209539
12	0.8507140379	0.459605324
13	0.8520673504	0.4540723522
14	0.8533528466	0.4483351696
15	0.8534024223	0.4440008973
16	0.8534356416	0.4401753038
17	0.8538444398	0.4362614563
18	0.8540404101	0.4335068098
19	0.8544908095	0.430834238
20	0.8551175066	0.4283442396
21	0.85567512	0.4261808557
22	0.8560135136	0.4239213422
23	0.8564273715	0.4216147182
24	0.8570870947	0.4193778113
25	0.8574772506	0.4172330996
26	0.8580610565	0.4154055268
27	0.8581816888	0.4134155384
28	0.8586408922	0.4120456444
29	0.8587810464	0.4106349435
30	0.858767868	0.4092672676
31	0.8591491059	0.4079161807
32	0.8594962967	0.406508158
33	0.8596702129	0.4053421797
34	0.8599426858	0.4041581275
35	0.8601709076	0.4033351989
36	0.8603504482	0.4024450792
37	0.8604140164	0.4013662313
38	0.860878485	0.4003658888
39	0.8613595162	0.3993608571
40	0.8613775661	0.3986207466
41	0.8616130048	0.3978630391
42	0.8617050063	0.3969453397
43	0.8620185276	0.3960573328
44	0.8621155226	0.3955147582
45	0.8622191076	0.3946990159
46	0.8620079784	0.3942528128
47	0.8623310024	0.3936686607
48	0.8625612288	0.3931118564
49	0.8628622753	0.3923776967
50	0.8629409019	0.3918978217
51	0.863136031	0.3912868978
52	0.8632833973	0.3908731895
53	0.8634899065	0.3903353445
54	0.8639304686	0.3899128022
55	0.8640383179	0.3894617406
56	0.8641514777	0.3889236563
57	0.8644767471	0.388406092
58	0.8648714441	0.3879005013
59	0.8646719109	0.3875086448
60	0.8648475127	0.386931493
61	0.8651586834	0.3864338389
62	0.8653376264	0.3859636179
63	0.8655125345	0.3855108105
64	0.8655478853	0.3852646081
65	0.8657951212	0.3846886924
66	0.865772546	0.3840109103
67	0.8658030519	0.383748067
68	0.8658937492	0.3833958278
69	0.8661247274	0.3830251722
70	0.8664773921	0.3825144512
71	0.8665013044	0.3821016716
72	0.8667253792	0.3818465595
73	0.8667458642	0.3814093054
74	0.8667318542	0.3810961126
