iter	Passed	Remaining
0	314	479979
1	512	389974
2	701	356087
3	879	334611
4	1092	332120
5	1397	353692
6	1716	372151
7	2044	387609
8	2344	394985
9	2746	416042
10	3125	430217
11	3525	444519
12	3961	460716
13	4287	462712
14	4630	466164
15	5021	473601
16	5420	480849
17	5773	483341
18	6140	486743
19	6384	480444
20	6608	473272
21	6832	466786
22	7065	461436
23	7292	456096
24	7502	450140
25	7707	444370
26	7942	440672
27	8164	436519
28	8377	432186
29	8605	428857
30	8838	425943
31	9083	423793
32	9304	420679
33	9529	417885
34	9763	415645
35	9987	413073
36	10226	411263
37	10555	413062
38	10780	410772
39	11004	408539
40	11233	406586
41	11449	404271
42	11680	402573
43	11914	401036
44	12151	399641
45	12393	398477
46	12604	396374
47	12840	395114
48	13064	393533
49	13312	392706
50	13528	390986
51	13735	389071
52	13966	387886
53	14203	386926
54	14426	385584
55	14674	384943
56	14903	383829
57	15137	382862
58	15332	380965
59	15574	380266
60	15786	378887
61	16045	378622
62	16271	377607
63	16498	376622
64	16745	376127
65	16992	375632
66	17203	374367
67	17460	374107
68	17718	373880
69	17968	373479
70	18226	373263
71	18475	372854
72	18695	371867
73	18933	371244
74	19173	370696
75	19412	370122
76	19649	369511
77	19867	368570
78	20104	367991
79	20340	367405
80	20578	366862
81	20818	366358
82	21054	365797
83	21272	364928
84	21513	364470
85	21731	363629
86	21971	363156
87	22201	362535
88	22410	361595
89	22658	361273
90	22900	360864
91	23139	360416
92	23357	359649
93	23600	359280
94	23845	358943
95	24061	358164
96	24278	357414
97	24483	356509
98	24697	355739
99	24952	355571
100	25167	354843
101	25407	354457
102	25643	354023
103	25900	353894
104	26154	353707
105	26387	353241
106	26491	351074
107	26727	350676
108	26802	348192
109	27059	348082
110	27328	348127
111	27565	347772
112	27802	347407
113	28049	347167
114	28174	345442
115	28441	345470
116	28695	345323
117	28931	344972
118	29120	344068
119	29344	343570
120	29591	343355
121	29850	343279
122	30093	343020
123	30367	343106
124	30617	342917
125	30869	342752
126	31113	342491
127	31349	342155
128	31577	341717
129	31807	341316
130	32036	340909
131	32255	340392
132	32332	338397
133	32566	338054
134	32798	337700
135	33027	337318
136	33269	337066
137	33484	336546
138	33701	336041
139	33950	335870
140	34228	335968
141	34456	335586
142	34702	335374
143	34946	335146
144	35178	334803
145	35404	334402
146	35641	334108
147	35865	333691
148	36079	333190
149	36303	332782
150	36545	332541
151	36794	332361
152	37042	332168
153	37284	331931
154	37513	331574
155	37609	330043
156	37847	329781
157	38089	329546
158	38318	329199
159	38540	328795
160	38594	326974
161	38807	326508
162	39011	325974
163	39228	325545
164	39477	325389
165	39697	324995
166	39937	324764
167	40182	324567
168	40416	324292
169	40660	324089
170	41067	325174
171	41313	324980
172	41430	323779
173	41525	322421
174	41787	322358
175	42014	322034
176	42230	321623
177	42473	321416
178	42713	321188
179	42983	321183
180	43215	320892
181	43458	320683
182	43697	320446
183	43745	318818
184	43964	318446
185	44211	318274
186	44351	317339
187	44614	317285
188	44886	317295
189	45098	316876
190	45316	316503
191	45526	316076
192	45787	316006
193	46010	315670
194	46256	315496
195	46501	315307
196	46725	314984
197	46945	314628
198	47164	314273
199	47382	313905
200	47603	313564
201	47835	313298
202	48042	312869
203	48283	312659
204	48520	312427
205	48738	312068
206	48980	311869
207	49215	311621
208	49450	311375
209	49666	311004
210	49896	310729
211	50121	310422
212	50330	310017
213	50551	309685
214	50785	309439
215	51036	309289
216	51264	309006
217	51494	308729
218	51724	308457
219	51947	308142
220	52160	307769
221	52439	307787
222	52706	307728
223	52944	307503
224	53184	307289
225	53426	307085
226	53630	306664
227	53832	306228
228	54033	305798
229	54255	305484
230	54465	305099
231	54698	304852
232	54918	304524
233	55141	304219
234	55365	303921
235	55562	303476
236	55784	303164
237	56019	302926
238	56257	302708
239	56489	302453
240	56722	302206
241	56974	302056
242	57177	301654
243	57437	301546
244	57665	301270
245	57901	301038
246	58123	300734
247	58363	300526
248	58586	300224
249	58812	299944
250	59050	299724
251	59285	299486
252	59498	299140
253	59734	298905
254	59968	298665
255	60189	298363
256	60421	298110
257	60652	297857
258	60865	297513
259	61078	297171
260	61342	297075
261	61597	296938
262	61824	296661
263	62069	296473
264	62313	296282
265	62559	296099
266	62820	295987
267	63054	295742
268	63288	295501
269	63536	295328
270	63793	295191
271	64069	295141
272	64301	294893
273	64520	294580
274	64768	294402
275	65058	294413
276	65388	294602
277	65627	294378
278	65956	294557
279	66304	294816
280	66571	294715
281	66805	294467
282	67079	294389
283	67294	294059
284	67532	293825
285	67765	293570
286	68044	293517
287	68331	293492
288	68567	293252
289	68830	293124
290	69081	292945
291	69329	292751
292	69570	292526
293	69792	292227
294	70049	292069
295	70294	291865
296	70512	291546
297	70727	291218
298	70970	291003
299	71232	290864
300	71575	291056
301	71802	290777
302	72041	290542
303	72273	290282
304	72486	289945
305	72731	289739
306	72986	289569
307	73240	289394
308	73503	289256
309	73705	288876
310	73944	288645
311	74178	288391
312	74416	288155
313	74703	288107
314	75058	288321
315	75300	288096
316	75532	287832
317	75789	287665
318	76034	287451
319	76259	287163
320	76506	286958
321	76766	286800
322	77034	286671
323	77288	286492
324	77543	286313
325	77777	286060
326	78021	285840
327	78262	285609
328	78507	285395
329	78749	285169
330	78998	284968
331	79232	284711
332	79451	284404
333	79688	284157
334	79944	283982
335	80217	283864
336	80430	283533
337	80670	283302
338	80889	282994
339	81149	282828
340	81381	282568
341	81616	282315
342	81829	281988
343	82055	281708
344	82286	281442
345	82510	281157
346	82755	280940
347	83006	280743
348	83238	280483
349	83481	280260
350	83728	280047
351	83962	279794
352	84200	279555
353	84442	279329
354	84688	279114
355	84934	278900
356	85163	278630
357	85408	278413
358	85657	278208
359	85902	277989
360	86131	277718
361	86400	277579
362	86665	277426
363	86889	277139
364	87118	276871
365	87457	276949
366	87699	276718
367	87928	276447
368	88163	276198
369	88400	275953
370	88653	275759
371	88889	275508
372	89126	275265
373	89367	275033
374	89614	274817
375	89847	274559
376	90052	274217
377	90287	273968
378	90548	273797
379	90812	273633
380	91068	273445
381	91317	273236
382	91550	272978
383	91782	272719
384	92031	272508
385	92380	272595
386	92641	272419
387	92859	272116
388	93113	271920
389	93361	271706
390	93586	271425
391	93844	271238
392	94103	271056
393	94341	270814
394	94560	270515
395	94811	270307
396	95047	270059
397	95268	269767
398	95515	269551
399	95747	269289
400	95988	269055
401	96262	268913
402	96498	268662
